doctor_id,full_name,specialization,department_id,hospital_id,phone_no,record_start,record_end
D00269, DR. LUTFI LEE ,ent,DEP05,H01, 591-444-7157x249 ,2023-05-28,
D00270,Dr. tabassum. Ghafoor,Neurology,DEP04,H02,717-682-4274x37256,2023-05-19,
D00271,Dr. Henry Naeem,Pediatrics,DEP10,H03,"3832750598,",2023-03-26,
D00272,dr. rich@rd lynch,Orthopedics,DEP02,H03, 972-848-2635 ,2023-04-21,2023-12-31
D00273,Dr. Kimberly Yar,Oncology,DEP01,H04,001-254-603-3119x171,2023-04-16,
D00274,dr.  radi  babar,ENT,DEP07,H01,926-498-4757,2023-01-15,2023-11-12
D00275,Dr. George Richardson, ENT ,DEP04,H05, 001-615-685-6639X35649 ,2023-01-31,
D00276,dr. kelly gh@y00r,Pediatrics,DEP08,H01,721-256-6873,2023-05-29,2024-04-04
D00277,Dr. Majd Jones,Oncology,DEP04,H04,833-302-7947x95465,2023-05-30,2024-02-27
D00278,dr. jasmine doyle, Cardiology ,DEP01,H03,987.555.4006,2023-03-14,
D00279,Dr. Makeen Ghayoor,cardiology,DEP04,H04,972-625-1600,2023-03-03,
D00280, Dr. Nabil Zaahid ,ENT_,DEP01,H04,001-350-699-0921x7077,2023-05-23,2023-12-01
D00281,Dr. Ghaffaar Zackariya,Orthopedics,DEP03,H01,911.607.3604x475,2023-06-05,2024-02-18
D00282,Dr. TAMANNA Wadi,Pediatrics,DEP03,H02,923-639-8601x036,2023-03-29,
D00283,dr. martin liyaaqat,Orthopedics,DEP09,H02,616-490-9946x344,2023-06-19,2024-03-13
D00284,Dr.  ATTAF  Kabeer,oncology,DEP03,H04,5246802649,2023-03-27,
D00285,Dr. Jacob Najeeb, ENT _,DEP02,H03,940-659-4061x3558,2023-06-12,
D00286,dr.  michael  calderon,Orthopedics,DEP01,H04, +1-324-773-0573 ,2023-06-26,2024-05-06
D00287,Dr. Sabah Yaghnam,Neurology,DEP06,H03,782.478.9195_,2023-04-12,
D00288,Dr. lindsey Wiley, oncology ,DEP09,H03,+1-757-302-0660x897,2023-05-12,
D00289,Dr. qabeel Hamilton,ENT,DEP06,H01,(799)607-9720,2023-05-08,2024-03-25
D00290,Dr. Emily. rabbani,NEUROLOGY,DEP06,H03,001-507-683-6467x9021,2023-05-21,
D00291,Dr. Muhazzim  Carroll-,Orthopedics,DEP07,H03, 317.950.1909x054 ,2023-03-17,
D00292,dr. nicholas scott,Pediatrics,DEP10,H03,(768)547-9753x0924,2023-02-26,2024-02-04
D00293,Dr. Y@hy@@ D@vid, Neurology ,DEP09,H05,410-897-2017,2023-04-09,
D00294,Dr. Patricia BAASHIR,Neurology,DEP10,H01,+1-752-971-5526,2023-01-23,2023-10-25
D00295,Dr. Susan Nelson,Cardiology,DEP06,H01, 001-634-572-5427x43526 ,2023-06-01,2024-02-17
D00296,Dr. Kamil Tali,orthopedics,DEP04,H02,(833)450-5954X0508,2023-05-17,
D00297,dr. qabeel rabbani,ENT,DEP06,H04,+1-785-660-7896X83443,2023-06-05,2024-02-07
D00298,Dr. Chelsey Rabar,Cardiology,DEP08,H02,6059598905,2023-02-01,2023-08-13
D00299, Dr. Awadil  Uhban -,Pediatrics,DEP05,H01,821-317-8691x990,2023-01-30,
D00300,dr. sandra jameel,ENT,DEP10,H04,(554)913-1262x441,2023-04-13,
D00301,Dr. Mark Brown,Neurology,DEP10,H02,+1-548-387-1891,2023-01-15,
D00302, Dr. J0n Um@r ,Cardiology,DEP06,H03,(466)497-6729x33782,2023-01-05,
D00303,Dr. Richard Barton,Neur0l0gy,DEP08,H04,518-516-2345x735,2023-02-13,2023-11-07
D00304,Dr. R@chel W@hh@@j,ENT,DEP02,H04,985.232.4357x2913,2023-06-28,
D00305,Dr. said Zahrun,ent,DEP07,H04, +1-682-656-3103 ,2023-02-22,2023-09-29
D00306,Dr. David_ Aazim, Orthopedics ,DEP10,H02,637-954-9205x695,2023-02-28,
D00307, Dr. Hazeem Davis ,Neurology,DEP06,H02,(770)484-9352X510,2023-01-21,
D00308, dr. ubadah matthews ,Neurology,DEP06,H03, 001-935-614-9049x871 ,2023-04-01,2023-11-12
D00309,Dr. David ubaadah,Orthopedics,DEP01,H05, 610-717-6702 ,2023-04-24,2023-11-09
D00310,Dr. Sus@n d@vis,Cardiology,DEP02,H03,289-662-1501,2023-05-29,2024-01-16
D00311,Dr. muzhir_ hunter,Pediatrics,DEP03,H01,+1-315-293-9360,2023-05-09,
D00312,Dr. JOHN Mahfuj, Neurology ,DEP06,H04, 799.704.8958x34497 .,2023-06-08,2024-01-05
D00313,Dr. Jody Kamran-,pediatrics,DEP05,H03,,2023-02-02,
D00314,Dr.  Christy   Taimur,neur0l0gy,DEP01,H01, 508-270-4984x119 ,2023-04-22,
D00315,DR. ATTAF NGUYEN,Pediatrics,DEP05,H01,966-495-9384,2023-02-17,
D00316,DR. KIMBERLY JOHNSON,Neurology,DEP01,H04,8035057570,2023-03-29,
D00317,Dr. Bri@n Baaqir,Oncology,DEP05,H04,(919)740-6051,2023-04-23,2023-12-18
D00318, Dr. Dean luay ,Cardiology,DEP09,H03,682-777-0473x0281,2023-03-04,2024-02-20
D00319,Dr. DIANA farrell,ENT,DEP07,H02,498.634.5440x19611,2023-02-03,2023-09-14
D00320,Dr. Richard Gregory,ENT,DEP05,H01,001-568-386-4161x540,2023-03-01,2024-02-12
D00321,dr. qadar  alexander,orthopedics,DEP03,H02,5592484948,2023-04-10,2024-04-02
D00322,Dr. Michael gallegos-,ENT,DEP08,H05,+1-392-792-1291x572,2023-05-30,2024-04-04
D00323,Dr. alexa Sadan, oncology ,DEP03,H03,(646)851-8376,2023-03-17,
D00324,dr. ghunayn zackariya,neur0l0gy,DEP04,H02,(225)408-4388x3270,2023-02-19,2023-11-03
D00325,dr. sue johnson,Pediatrics,DEP07,H03,236.492.2490X365_,2023-05-28,
D00326,DR. UMAR SOUMA," NEUROLOGY ,",DEP08,H05,001-239-810-2366,2023-05-29,2024-01-09
D00327,Dr. JENNIFER Yar,Pediatrics,DEP01,H02,448-457-6140,2023-01-09,
D00328,Dr. J@s0n Zaahid,"ENT,",DEP01,H03,001-898-958-7894x288,2023-05-21,
D00329,Dr. Rohaan Olsen,Neurology,DEP04,H02,(927)271-9748,2023-01-01,
D00330, Dr. Kevin  GULFAM , Oncology ,DEP02,H04,+1-384-209-4337x092,2023-03-17,2024-03-10
D00331,Dr. Tishk cervantes_, Pediatrics ,DEP05,H05,+1-647-432-0188x65919,2023-03-26,2023-11-24
D00332,Dr.  KENT  Bradley,Oncology,DEP08,H02,5608614685,2023-01-08,2023-10-26
D00333,Dr. Jocelyn  Ghauth,CARDIOLOGY,DEP04,H01,+1-231-960-6583x13864,2023-05-22,2023-12-09
D00334, dr. kenneth lopez , NEUROLOGY ,DEP08,H01,644.919.4775x680,2023-06-06,2024-06-04
D00335, Dr. Taamir  Fazli ,Cardiology,DEP05,H01,(829)415-5872,2023-01-28,2023-08-10
D00336,Dr. BRIDGET  Lut,Neurology,DEP03,H03,+1-240-824-9290x2035,2023-04-27,
D00337,Dr. Mahad Johnson, Neurology ,DEP05,H05,,2023-06-22,
D00338,Dr.  Michael  tafazal,ENT,DEP09,H01,,2023-03-13,2023-12-28
D00339,Dr.  IKRAAM - umar,ent,DEP01,H04,731-488-6292x308,2023-04-19,2024-02-12
D00340,dr. rayan zafir,oncology,DEP09,H02,704-415-5791x84655,2023-02-16,
D00341, DR. UBAYDULLAH SMITH_ ,neurology,DEP08,H04,001-731-471-6858x5734,2023-06-27,
D00342, Dr. najam Morris ,cardiology,DEP04,H05, 9795583374 ,2023-01-31,
D00343,Dr.  K@@mil  Kaleema,NEUROLOGY,DEP08,H05,365.954.8494x47741,2023-04-13,
D00344,Dr. Jaan  Vasquez .,cardiology,DEP10,H02, 890-732-2277 ,2023-03-22,2024-02-13
D00345,Dr. Ghufran Nguyen.,pediatrics,DEP03,H05,+1-624-461-1457x598,2023-01-28,2023-11-14
D00346,Dr. Tamam Karaamat,ENT,DEP05,H04, 294-715-7383x5419 ,2023-06-03,2024-01-12
D00347,Dr. Scott  Sabeeh,Cardiology,DEP04,H04, 680.598.1065X27862 ,2023-04-04,
D00348,dr. rita williams,Cardiology,DEP06,H02,+1-445-390-6717,2023-02-10,2023-10-14
D00349,dr. maahir  garcia,Neurology,DEP06,H02,397.324.9487x52692,2023-06-06,2024-03-28
D00350, Dr. Tahir Costa , ENT ,DEP01,H01,001-296-776-5657,2023-02-17,2023-10-02
D00351,dr. veronica rice,c@rdi0l0gy,DEP10,H03,(832)849-6874x081,2023-03-12,2023-12-01
D00352,Dr. Mich@el Ub@ydull@h,Pediatrics,DEP08,H02,944.922.6261,2023-05-24,2024-01-15
D00353, Dr.  Andrew  Mccullough ,Cardiology,DEP01,H02,837.414.6323,2023-01-21,
D00354, Dr. rabiah perez ,ENT,DEP04,H02,(936)956-3858X977,2023-06-03,
D00355,DR. MAAJID TORRES,Oncology,DEP02,H03,,2023-03-18,2023-09-27
D00356,Dr. D@@w00d Ghazzal,Orthopedics,DEP05,H04,+1-832-605-1825x6087,2023-01-14,2023-07-24
D00357,DR. AWANI CHAVEZ,NEUROLOGY,DEP06,H02,627-639-8219x43155,2023-02-03,2023-08-09
D00358,Dr. changaz  ray,Oncology,DEP07,H05,414.904.6109x03073,2023-03-09,
D00359,Dr. Savannah RABAR,Oncology,DEP05,H01,677-553-6821,2023-02-01,
D00360,Dr. Saim mccoy,Neurology,DEP08,H03,001-822-288-2125x70569,2023-04-21,2024-01-07
D00361,Dr. Nicholas  FIGUEROA,pediatrics,DEP02,H05,(595)882-4227x4372,2023-05-27,
D00362,Dr. Saajid Long, Pediatrics ,DEP09,H04,(378)890-7352x498,2023-03-08,
D00363,Dr. Raheem Ubaydullah,Onc0l0gy,DEP05,H01, (798)327-9358x20706 ,2023-06-05,2024-01-15
D00364,Dr. James Richardson,oncology,DEP05,H02, (302)930-6000 ,2023-06-24,2024-02-04
D00365,Dr. R@bb@@nee A@dil,Pediatrics,DEP02,H02,001-227-352-4599x4148,2023-04-14,2023-10-28
D00366,DR. QUTAYBAH AALAM,cardiology,DEP02,H04,834.255.3948,2023-06-26,
D00367,dr. emily tawkeel,Orthopedics,DEP07,H04, 274.438.3028x6696 ,2023-01-07,
D00368,Dr. Michelle shaffer_,Pediatrics,DEP08,H03,+1-387-377-6898x786,2023-03-10,2024-01-31
D00369,Dr. Karen mann,orthopedics,DEP08,H03,260-436-6165x761,2023-01-06,2023-07-21
D00370,Dr. Zafeer GHAFOOR,Oncology,DEP02,H03,267-755-0998,2023-03-28,
D00371,Dr. Clayton Majd Udeen,Pediatrics,DEP05,H01,"7918248037,",2023-05-04,2024-04-16
D00372,Dr. ELIZABETH Saajid,ENT,DEP10,H05,(975)875-9284x302,2023-03-15,
D00373,Dr. Anna Smith_,Neurology,DEP10,H03,001-970-543-9787x2431,2023-06-24,
D00374,Dr. Sc0tt lopez, Pediatrics ,DEP01,H03, +1-898-954-9226x6086 ,2023-06-06,2023-12-18
D00375,Dr. Nicole Pennington,ENT,DEP04,H03,897.796.1254,2023-03-19,2023-10-19
D00376,Dr. B@t@l Najeeb,Neurology,DEP01,H03,693.689.9828,2023-01-15,2024-01-07
D00377,Dr. Seth. Jahdami,Pediatrics,DEP04,H02,924.322.3587x66887,2023-03-11,
D00378,Dr. Ehan Robinson,cardiology,DEP05,H04,390-376-2919,2023-06-22,2024-04-09
D00379,dr. @li m@n,ENT,DEP03,H02, 495-609-9081x283 ,2023-06-17,
D00380,Dr. Lutf Shelton,Cardiology,DEP07,H05,,2023-02-15,2023-09-27
D00381,Dr. john Lopez,ENT,DEP09,H03,,2023-04-16,2023-11-05
D00382,Dr. Alexis luna,Pediatrics,DEP06,H02,(809)773-5007x40952,2023-01-24,2023-11-07
D00383,Dr. Kimberly Cortez,NEUROLOGY,DEP07,H02,001-769-973-0224x79343,2023-04-30,2024-03-09
D00384,Dr. Kawthar martinez,Oncology,DEP02,H04,(373)781-8674x858,2023-03-13,
D00385,dr. quadir qais,cardiology,DEP06,H02,+1-891-413-9755,2023-04-22,
D00386,Dr.  Jaffer  FREEMAN,Orthopedics,DEP08,H02,370-955-6875x8454,2023-04-08,
D00387,Dr. David Porter,Oncology,DEP10,H03,771.277.3342x3196,2023-05-20,2023-12-30
D00388,DR. GHAFOOR JALAAL,neur0l0gy,DEP05,H01,+1-767-990-2924x48637,2023-02-03,
D00389,Dr. anthony Schmidt,Cardiology,DEP02,H04,(901)592-8913x887,2023-06-10,
D00390,Dr. Majdy GULFAM,Neurology,DEP07,H02,978.673.0160x930,2023-04-20,2024-01-16
D00391,Dr. GHANNAM Fuller_,Oncology,DEP01,H03,465.683.9841,2023-05-04,
D00392,dr. april calderon, Neurology ,DEP03,H04,3782102664,2023-05-31,2024-01-20
D00393,Dr. Wafa Ihab,Cardiology,DEP08,H03,+1-257-551-6304x19105-,2023-04-28,
D00394, Dr. Zuwayhir  Ub@d@h ,Neurology,DEP03,H05,252-958-7357x3067,2023-04-10,
D00395,DR. UBAY YAMAN,cardiology,DEP08,H03, +1-995-550-6570x464 ,2023-06-23,2024-05-17
D00396, Dr.  Qahtan  cruz ,Cardiology,DEP05,H02, 001-328-478-0485x47597 ,2023-02-08,2023-10-16
D00397,Dr. Christina wiley_,0rth0pedics,DEP09,H05,(992)240-5344x025_,2023-01-02,
D00398,dr. alexander white,Oncology,DEP08,H04,+1-492-579-1521,2023-06-07,
D00399,dr. nicholas kashif,Neurology,DEP02,H03, +1-209-624-7302x6829 ,2023-03-29,
D00400,dr. nicholas barr,Oncology,DEP06,H04,+1-744-870-1228,2023-06-22,2024-03-14
D00401,Dr. gulab Taimur, Cardiology ,DEP03,H03,4738719493,2023-01-20,
D00402,Dr. R@b@h Aamil,ENT,DEP08,H04,(749)398-8313x57028,2023-02-08,2023-08-08
D00403,dr. jeffrey glass,C@rdi0l0gy,DEP04,H03,982.309.9883x6911,2023-01-22,
D00404, Dr. Kim  ubayd ,ENT,DEP09,H02,(906)735-2117x6004,2023-04-23,2023-11-09
D00405,dr. tahaw-wur schmidt,ENT,DEP09,H02,248-761-0753x090,2023-03-20,
D00406,Dr. April ellis,Cardiology,DEP06,H05,853.764.9711x32573,2023-05-24,
D00407,Dr.  K@leem  Willi@ms0n,Oncology,DEP09,H01,(942)540-9589x7369,2023-04-14,
D00408,Dr. Matthew aamil,Neurology,DEP04,H05,,2023-04-26,2023-11-07
D00409,Dr. Aaron Franklin,neurology,DEP08,H02,772.640.7159,2023-02-14,2023-08-28
D00410,Dr. Ihtiram Baker,orthopedics,DEP10,H05,904.537.8982,2023-05-11,
D00411,Dr. William Hanson, Oncology ,DEP08,H01,001-976-505-6335,2023-06-06,2023-12-24
D00412,Dr. Daawood. C@mpbell,ENT,DEP10,H02,(804)206-0051x8361,2023-06-23,2024-01-07
D00413,Dr. william Ghafoor,cardiology,DEP02,H05,(500)883-4017,2023-04-07,
D00414,dr. naib b@leegh,Pediatrics,DEP03,H03,(245)304-9531,2023-03-10,2023-11-11
D00415,dr. kareem  damurah,Neurology,DEP10,H03,(546)937-7310,2023-05-20,2024-04-02
D00416, dr.  l00t   w@ts0n ,Cardiology,DEP03,H03,001-865-697-6288x15415,2023-04-05,2024-01-28
D00417,Dr. kaleem RAID,cardiology,DEP02,H05,5515969113,2023-04-10,2023-10-12
D00418,Dr. qadeer Talat, ENT ,DEP03,H02,980-809-8155x65196,2023-06-10,
D00419,DR. RAFEEK  MADIYAN,Pediatrics,DEP07,H03,555-646-7598,2023-02-23,
D00420,Dr. Cynthia Matthews,ENT,DEP02,H01,465.507.2995x150,2023-04-15,
D00421,Dr.  Michele  Thompson,orthopedics,DEP06,H01,(368)998-8854,2023-01-01,
D00422,Dr. Kajji kaleem,ORTHOPEDICS,DEP04,H03, 8985318741 ,2023-02-09,
D00423,Dr. DAGHFAL  willi@ms,Orthopedics,DEP04,H02,548-839-6074,2023-06-05,
D00424,dr.  victoria  maroof,"Orth0pedics,",DEP09,H02,,2023-05-18,2024-04-10
D00425,Dr. Brian Zaahid,Pediatrics,DEP04,H04,5113764804,2023-05-29,
D00426,Dr. Rafee Hancock,ENT,DEP10,H03,837-754-2918,2023-02-07,2023-08-30
D00427,Dr. saaiq zaahid,Cardiology,DEP07,H01,(857)548-6432,2023-02-27,
D00428,Dr. Elizabeth qaasim, orthopedics ,DEP02,H05, 001-879-435-3143x042 ,2023-06-24,2024-02-20
D00429,Dr. Jody Davila,c@rdi0l0gy,DEP01,H05,(699)670-1286,2023-04-12,2024-01-29
D00430,Dr. Diana Thompson,Oncology,DEP07,H01,763-266-3541x5314,2023-05-11,2024-03-03
D00431,Dr. Umair  JOHNSON,ent,DEP10,H05,001-630-934-0173,2023-04-16,2023-11-28
D00432,Dr. Justin Harvey,Orthopedics,DEP07,H01,976-629-3171X803_,2023-05-08,
D00433,DR. NAJAM  HARVEY,ENT,DEP10,H01,224-332-1599x0203,2023-02-26,2023-09-01
D00434,dr. nadim rabee,ENT,DEP04,H02,3112240986,2023-06-07,
D00435,Dr. M@hj@ Th0m@s,PEDIATRICS,DEP05,H03,364.978.5445x84301,2023-02-04,
D00436,dr. ibraaheem  saariyah-,Oncology,DEP05,H01,272-998-5443x3788,2023-01-25,
D00437,Dr. Tarfaan_ Moore.,ENT,DEP07,H03,001-682-464-8536x7368,2023-06-21,2024-02-05
D00438,Dr. Raheel Howard, neurology ,DEP04,H05,(212)281-2222x57811,2023-06-12,
D00439,Dr. umaarah Gulfam,ent,DEP07,H03,587.765.2077,2023-02-02,
D00440,Dr. sh@wn  badr udeen, orthopedics ,DEP07,H01,(513)432-9247,2023-04-03,2024-03-02
D00441,"Dr. Jalaal banks,",neurology,DEP08,H05,753-410-2860x4100,2023-05-30,
D00442, DR. HARNAIL NAEEM ,Oncology,DEP10,H01, 236.565.1851x257 ,2023-05-01,
D00443,Dr. Ihtesham Blair,Orthopedics,DEP07,H02,895.423.7439x0623,2023-05-29,
D00444,Dr. el-amin  LAJLAJ,Neurology,DEP07,H03,841-414-6959x58661,2023-04-27,
D00445,Dr.  y@sin  Ubaydullah,neurology,DEP02,H02,787.747.3319x073,2023-01-10,2023-11-08
D00446, Dr. tanya Santana ,ONCOLOGY,DEP03,H05,001-748-558-7928x4130,2023-03-16,
D00447,Dr. Qaseem  Hall _,Neur0l0gy,DEP08,H01,,2023-02-06,2023-11-01
D00448,Dr. Br@ndi ch@vez, Neurology ,DEP02,H01,464-274-7256,2023-06-07,2024-02-12
D00449,Dr. Matthew Jahdami,Oncology,DEP06,H01,708.972.2082,2023-04-20,
D00450,dr. henry mahmoud,Oncology,DEP04,H03, (528)536-1684 ,2023-06-11,2024-01-19
D00451,Dr. John  Gulfam,Cardiology,DEP05,H02,001-467-542-5818x6144,2023-03-13,2023-12-24
D00452,Dr. EDDIE Waajid-,pediatrics,DEP03,H01,827.543.6216,2023-02-09,2023-10-25
D00453,dr. ernest vargas,Neurology,DEP10,H03, 238-636-5448 .,2023-03-11,
D00454,Dr. Danny jaabir,orthopedics,DEP07,H01,238.667.8265,2023-02-13,
D00455,dr. mary sadeed,Orthopedics,DEP03,H02,575-590-2055,2023-02-10,
D00456,DR. UBAID OMEIR,orthopedics,DEP07,H05,372.515.6719,2023-06-25,2024-02-17
D00457,Dr. Christina yadid,orthopedics,DEP10,H04,5774549330,2023-05-04,
D00458,dr. tajammal kamran,ENT,DEP07,H02,001-612-848-7743x57511,2023-05-23,2024-05-22
D00459, Dr. Samantha jones ,Orthopedics,DEP09,H05,001-532-332-8413x4648,2023-04-24,
D00460,Dr.  Jessica  karam,Pediatrics,DEP10,H01,(501)642-8110x36509,2023-01-25,2024-01-04
D00461,dr. qudamah urrab,Cardiology,DEP01,H01,885.216.5086x78485,2023-06-19,2024-01-14
D00462,Dr. raamiz Qadeer-,oncology,DEP01,H03,001-805-807-9664x057,2023-06-14,2024-05-11
D00463,Dr. Azeeb ubadah,NEUROLOGY,DEP04,H05,,2023-06-14,
D00464,"dr. caroline krueger,",Orthopedics,DEP04,H01,(951)930-2016x89615,2023-03-24,
D00465,Dr. @ndrew Bil@@l,Cardiology,DEP07,H05,3723833501,2023-04-08,2023-12-04
D00466,Dr. Ubadah Rabee-,Cardiology,DEP07,H05,001-327-884-5521x97129,2023-06-14,
D00467,dr. larry ihsaan_,Neurology,DEP04,H05,,2023-06-05,2024-05-25
D00468,Dr. Mich@el Kelly,ORTHOPEDICS,DEP04,H04,(504)536-1123x50760,2023-06-03,2024-05-17
D00469,Dr. muhazzim Zayyir,"pediatrics,",DEP02,H05, 704-627-3512x221 ,2023-01-09,2023-11-27
D00470,Dr. Sarah Ijli,Neurology,DEP09,H05,+1-233-592-0661x96367,2023-02-08,2023-08-12
D00471,Dr. Autumn tabassum,Neurology,DEP05,H02,(955)434-0465x8220,2023-02-26,2023-10-22
D00472,Dr. Saahir aaaqil-,Orthopedics,DEP06,H01,001-500-574-7772x51151,2023-03-31,2024-03-10
D00473,Dr. D@mur@h Fox,Oncology,DEP05,H02,213-688-4866,2023-01-22,
D00474,Dr. Jameel Ijli,oncology,DEP05,H05,935-358-3180,2023-05-25,2023-11-30
D00475,dr.  qaseem - johnson,ENT,DEP03,H01,+1-395-584-1192x40234,2023-06-28,
D00476,Dr. rabee Long, neurology ,DEP05,H03,(677)556-3684,2023-06-12,2024-03-06
D00477,Dr. Mad GREEN,Oncology,DEP08,H04,(671)753-1319x04695,2023-03-25,
D00478,Dr. Aalam Naeem,ent,DEP05,H05,(506)776-2668x88093,2023-05-19,2023-12-20
D00479,Dr. Kristina hardy,cardiology,DEP07,H04,001-645-508-6989x98944,2023-04-19,
D00480,Dr. jennifer  GONZALEZ,orthopedics,DEP08,H01,814-267-8866,2023-04-08,
D00481,dr. barraq  wheeler, Oncology ,DEP01,H05,(624)859-1632,2023-05-22,
D00482,"DR. Q@@SIM ALLEN,",neurology,DEP04,H01,333-249-2035x23337,2023-01-13,
D00483,"DR. HANNAH  KACHELA,",Pediatrics,DEP04,H04,001-263-759-2887x04641,2023-05-29,
D00484,Dr. Micheal Aalam,Pediatrics,DEP05,H02,(910)385-4155,2023-02-26,
D00485,Dr. Ulfat COOKE, pediatrics ,DEP02,H05, +1-746-409-8006x99323 ,2023-01-29,
D00486, Dr. Gregory  PERRY ,ENT,DEP08,H02, 572-264-3751x444 ,2023-03-12,2023-11-16
D00487,Dr. Ryan Najam,Neurology_,DEP07,H05,4006912606,2023-06-01,2024-02-16
D00488,Dr. Radi Jabir,ENT,DEP01,H04, 001-865-870-3592 ,2023-04-12,2023-10-13
D00489,dr. wadood scott,Orthopedics,DEP07,H05,"001-251-826-2909x20562,",2023-05-29,2024-01-14
D00490,Dr. Richard Ghannam,Orthopedics,DEP05,H02,364-737-3601x92356,2023-05-29,2024-04-15
D00491,Dr. NATASHA EHSAAS,ENT,DEP09,H05, 705-694-0976x4712 ,2023-03-30,
D00492,Dr. Nabeel Nail,ORTHOPEDICS,DEP01,H04,,2023-01-12,
D00493,Dr. Umar  urrab,neurology,DEP01,H01,996-834-4343X325,2023-02-01,
D00494,Dr. Gary Vahar,Orthopedics,DEP10,H01,366-432-0379x439,2023-03-07,
D00495,DR. TAJ ZIMMERMAN,Pediatrics,DEP06,H04,618-297-1215,2023-03-29,2023-11-07
D00496,Dr. Zaahir  Gonzalez,Orthopedics,DEP08,H01,,2023-05-27,2024-05-18
D00497,Dr.  Micheal  gohar,oncology,DEP07,H03,001-744-223-6427X515,2023-03-17,2023-12-30
D00498,Dr. Rabah Saariyah,ENT,DEP10,H04,,2023-02-21,2024-01-27
D00499,"Dr.  Yazan , saalim",cardiology,DEP04,H04,631.369.6116,2023-05-04,
D00500,Dr. Mark Ballard,Neurology,DEP04,H02, 491.681.1952x9191 .,2023-02-02,
D00501,DR. KAMIL HAWKINS,Orthopedics,DEP08,H05,610.634.5344,2023-04-02,
D00502,Dr. Baseer Crawford,Orthopedics,DEP05,H05,976-688-0933x490,2023-05-14,
D00503,dr.  najeeb  zahri,oncology,DEP08,H02,(546)786-5205,2023-05-05,2023-11-29
D00504,"dr. b@@izeed garrett,",ent,DEP02,H02,210-283-1625x3130,2023-01-18,
D00505,Dr. Kasim Yadid,Cardiology,DEP09,H02,001-246-406-1840x736,2023-01-28,2023-11-24
D00506,Dr.  Naadir  KACHELA,Cardiology,DEP01,H04,203-638-5202x7611,2023-06-30,
D00507,Dr.  Cassandra  Jalaal,Cardiology,DEP08,H04,779.300.9441,2023-01-11,2023-10-02
D00508,Dr. ghazanfar ihtiram,Oncology,DEP04,H01,2014541763,2023-04-30,
D00509,"Dr. Dabir Sabur,",Neurology,DEP05,H01,(258)397-4850x7577,2023-04-02,
D00510,Dr. SAMANTHA BROWN,Pediatrics,DEP07,H02,001-760-523-0586x9858,2023-01-15,2023-11-04
D00511,Dr. kawkab Yawer,Oncology,DEP05,H05,279.690.5228,2023-04-26,
D00512,Dr. Mary Morgan, Pediatrics ,DEP05,H05,3859589310,2023-03-15,
D00513,Dr. Regina MARTINEZ,Pediatrics,DEP01,H01,495-261-8498x752,2023-02-17,
D00514,DR. ERIC CONTRERAS,cardiology,DEP02,H02,794-948-6621x7565,2023-03-02,2023-09-07
D00515,DR. YAHYA ROJAS,Orthopedics,DEP09,H03,365.941.3138,2023-06-14,
D00516,Dr. Christine  cruz,ent,DEP08,H02,(578)892-1367X4528,2023-04-03,
D00517,Dr. W@h@b Ubay, Pediatrics ,DEP10,H01, 001-849-355-4639 ,2023-05-13,
D00518,Dr. Lawrence Qadar,Neurology,DEP04,H04,+1-283-838-7033x94161,2023-01-01,
D00519,Dr. Pedro VAHAR,ENT,DEP01,H01,+1-389-294-6723x99818,2023-06-05,2024-04-09
D00520,Dr. Th0m@s  Pierce,Orthopedics,DEP05,H03,935.560.1704X917,2023-02-12,2023-09-14
D00521,DR. SHARON JUAREZ,Oncology,DEP08,H05,+1-590-706-5948x591,2023-04-20,2023-11-19
D00522,Dr. Laura rabb,ent,DEP02,H02, 941.702.0314x0630 ,2023-05-07,2023-11-04
D00523,Dr.  Esfandyar  Aamirah, Pediatrics ,DEP05,H05,450.556.9932x996,2023-01-18,2023-09-30
D00524,Dr. Miranda wadood,Orthopedics,DEP05,H02, 6834137867 ,2023-05-07,2023-12-04
D00525,Dr.  Austin  WELLS,ent,DEP05,H03,7227403467,2023-05-31,
D00526,Dr. David Aamil,Pediatrics,DEP10,H03,,2023-05-12,2023-11-21
D00527,Dr.  matthew  Jahdami,Orthopedics,DEP02,H04,001-819-594-9085x34421,2023-06-09,
D00528,Dr. Barraq ossama,pediatrics,DEP07,H01,001-304-920-3519,2023-06-08,
D00529,Dr. Melanie Baaqir,Neurology,DEP09,H03,807.724.6021x22207,2023-05-20,2023-12-28
D00530,Dr.  joshua  Henderson,Orthopedics,DEP02,H04,+1-801-556-2278x7602,2023-04-15,2024-02-08
D00531,Dr. Kimberly  Taylor, Pedi@trics ,DEP02,H01,+1-973-230-7162,2023-05-18,2024-01-04
D00532,DR. NAASIH GHUNAYN,ENT,DEP07,H04,001-727-867-5864x4186,2023-04-28,
D00533,Dr. TALHA Kabeer,Pedi@trics,DEP07,H05,(432)645-8043x120,2023-02-12,
D00534,Dr. Sabbir  Meyers,oncology,DEP09,H04,9882856062,2023-03-05,2024-02-13
D00535,Dr. Faizan Yahyaa,Cardiology,DEP09,H02,622.677.6079x1985,2023-01-21,
D00536,dr. cindy najam,Neurology,DEP07,H01,(448)234-8749X35471,2023-05-31,
D00537,"DR. SAMANTHA AABID,",ENT,DEP08,H01,001-835-815-4077x714,2023-06-08,2024-01-06
D00538,"DR.  ASHLEY  M@HFUJ,", ENT ,DEP07,H01,,2023-04-16,
